review_text_processed,polarity
"['desd', 'dezembr', 'aguard', 'produt', 'aind', 'nao', 'recebidecepcion', 'american', 'pois', 'alem', 'atras', 'dei', 'present', 'pist', 'agu', 'nao', 'cumpr', 'propagand', 'atras', 'encomend']",0.0
"['fornecedor', 'confiavel', 'receb', 'produt', 'conform', 'promet', 'soment', 'period', 'esper', 'receb', 'long', 'nao', 'compromet', 'confianc', 'client']",1.0
"['voc', 'esta', 'parabens', 'entreg', 'rap', 'satifeit', 'obrig']",1.0
['bom'],1.0
"['infeliz', 'nao', 'receb', 'produt', 'enta', 'cancel', 'compr']",0.0
"['bom', 'cheg', 'direitinh', 'recom']",1.0
"['produt', 'vei', 'cert', 'ja', 'fiz', 'compr', 'anterior', 'cancel', 'ped', 'pois', 'ja', 'atras', 'mes', 'entreg']",0.0
"['produt', 'ja', 'pra', 'ter', 'cheg', 'dia', 'ate', 'hoj', 'nad', 'gramd', 'absurd', 'quer', 'tom', 'providenc', 'urgent']",0.0
"['produt', 'descrit', 'anunci']",1.0
"['quant', 'temp', 'esper']",0.0
"['mercador', 'nao', 'entreg', 'lamentavel']",0.0
"['produt', 'ma', 'qualidad', 'nad', 'ver', 'fot', 'nao', 'recom', 'pior', 'compr', 'q', 'fiz', 'stark', 'nunc', 'problem', 'antes', 'dess', 'compr', 'horrivel', 'nao', 'devolv', 'pq', 'n', 'corr', 'atras', 'diss']",0.0
['otim'],1.0
"['ador', 'compr', 'stark', 'sit', 'otim']",1.0
"['recebiemd', 'produt', 'praz', 'produt', 'qualidad', 'recom']",1.0
"['recom', 'cheg', 'dentr', 'praz']",1.0
"['produt', 'entreg', 'praz', 'otim', 'qualidad']",1.0
"['compr', 'capacet', 'taurus', 'zareef', 'v', 'branc', 'numer', 'por', 'mand', 'kit', 'pista', 'cg', 'erro', 'grosseir', 'part', 'loj', 'esper', 'resolv', 'log', 'problem', 'pois', 'capacet', 'present']",0.0
"['aguard', 'respost', 'ate', 'hoj', 'sobr', 'produt', 'ja', 'pag', 'aind', 'nao', 'receb', 'igu', 'necessit', 'fal', 'pesso', 'nao', 'maquin', 'gravaco']",0.0
"['receb', 'produt', 'conform', 'ped', 'obrig']",1.0
"['inform', 'ate', 'present', 'moment', 'nao', 'receb', 'compr', 'dia', 'praz', 'entreg', 'dia', 'inform', 'aind', 'sint', 'extrem', 'les', 'tend', 'vist', 'serv', 'present']",0.0
"['nenhum', 'esclarec', 'sobr', 'atras', 'entreg']",0.0
['bom'],1.0
"['esper', 'entreg', 'jog', 'toalh', 'nao', 'vei']",0.0
"['perfeit', 'cub', 'apaixon', 'torneir', 'tamb', 'lind']",1.0
['s'],1.0
"['produt', 'bomcom', 'esperavacom', 'anunci']",0.0
"['cheg', 'dentr', 'praz']",1.0
"['lustr', 'vei', 'total', 'quebr', 'vidr', 'cheg', 'tod', 'estracalh']",0.0
"['namor', 'gost', 'dem', 'lev', 'bonit', 'facil', 'ajust']",1.0
"['produt', 'vei', 'lul', 'molusc', 'cabec', 'quebr', 'nao', 'vei', 'roch', 'apen', 'cas', 'personag', 'cit', 'bom', 'estad', 'gost', 'troc', 'reembols']",0.0
"['bem', 'afi', 'cort', 'bem']",1.0
"['gost', 'futur', 'proxim', 'compr', 'produt']",1.0
"['gost', 'produt']",1.0
"['quesit', 'entreg', 'voc', 'esta', 'parabens', 'cheg', 'antes', 'previst', 'pen', 'tablet', 'trav', 'sistem', 'usa', 'espac', 'intern', 'ja', 'nao', 'la', 'cois']",0.0
"['produt', 'bonit', 'bem', 'embal']",1.0
"['entreg', 'antes', 'praz', 'produt', 'excelent']",1.0
"['nao', 'quer', 'avali']",1.0
"['bom', 'recom']",1.0
"['produt', 'cheg', 'bem', 'antes', 'praz', 'por', 'defeit', 'ja', 'post', 'devolv']",0.0
"['produt', 'vei', 'errad', 'aind', 'nao', 'retorn', 'faz', 'troc']",0.0
"['filh', 'amou']",1.0
['obrig'],1.0
"['produt', 'conform', 'anunci', 'envi', 'rap', 'corret']",1.0
"['ate', 'agor', 'nenhum', 'retorn', 'loj', 'envi', 'mail', 'nao', 'respond']",0.0
"['atras', 'entreg', 'produt', 'simpl', 'pequen', 'ate', 'hoj', 'nao', 'receb', 'produt', 'satisfaca', 'sobr', 'assunt']",0.0
"['agil', 'entreg']",0.0
"['patins', 'sao', 'lind', 'aind', 'pessoal', 'pra', 've', 'otim', 'qualidad', 'material', 'ame', 'loj', 'entreg', 'rap', 'parabens', 'obrig']",1.0
"['vej', 'posit', 'vendedor', 'bom', 'produt', 'entrga', 'temp', 'combin', 'motiv', 'simples', 'recom']",1.0
"['fot', 'sit', 'indic', 'unidad', 'nao', 'kit', 'duas', 'acab', 'receb', 'kits', 'so', 'port', 'cheg', 'entort']",0.0
"['produt', 'entreg', 'praz', 'produt', 'excelent']",1.0
"['praz', 'entreg', 'ok', 'qualidad', 'produt', 'ok', 'falt', 'apen', 'fich', 'deal', 'const', 'caix', 'nao', 'cheg']",1.0
"['receb', 'produt', 'antes', 'dat', 'estim', 'entreg']",1.0
['bom'],1.0
"['otim', 'produt', 'otim', 'loj']",1.0
"['produt', 'perfeit', 'entreg', 'sup', 'rap']",1.0
"['entreg', 'feit', 'antes', 'praz', 'receb', 'produt', 'tod', 'ok', 'cor', 'nao', 'bonit', 'pessoal', 'so', 'nao', 'gost', 'produt', 'material', 'bom', 'vei', 'med', 'corret']",1.0
"['boa', 'entreg', 'dentr', 'dopraz']",1.0
"['gost', 'kit', 'acho', 'interess', 'faz', 'outr', 'kits', 'mesm', 'marc', 'outr', 'produt', 'assim', 'pod', 'analis', 'kits', 'ter', 'sempr', 'produt', 'cas', 'evit', 'assim', 'gast', 'fret']",1.0
"['tec', 'gross', 'parec', 'organz', 'ue', 'cetimna', 'gost', 'acab', 'tamb', 'ruim']",0.0
"['produt', 'relaca', 'porc', 'oferec', 'outr', 'sit', 'nao', 'efeit', 'nenhum', 'natural', 'confiavel']",1.0
"['oieee', 'boa', 'tard', 'receb', 'produt', 'nao', 'ped', 'acho', 'vei', 'engan', 'favor', 'vej', 'dev', 'proced', 'troc', 'quant', 'anterior', 'produt', 'dev', 'vim', 'tac', 'sobremes', 'cham']",0.0
"['ache', 'pouc', 'fragil']",1.0
"['compr', 'produt', 'espelh', 'decorativo', 'nao', 'acril', 'fot', 'imag', 'ilustrativa', 'circul', 'parec', 'maioresm', 'nao', 'continh', 'informaca', 'descrica', 'nao', 'poss', 'reclam']",0.0
"['compr', 'dois', 'receb', 'apen', 'segund', 'atendent', 'segund', 'cheg', 'ate', 'agor', 'nao', 'receb', 'nenhum', 'rastreament', 'segund', 'grelh']",0.0
"['compr', 'nest', 'loj', 'decepcion', 'loj', 'pois', 'mand', 'vari', 'emails', 'porqu', 'compr', 'cobertor', 'tamanh', 'king', 'mand', 'tamanh', 'casal', 'decepcion', 'compr']",0.0
"['precis', 'tint', 'fiz', 'ped', 'so', 'ache', 'praz', 'entreg', 'pouc', 'long', 'tir', 'tud', 'ok', 'bom']",1.0
"['produt', 'entreg', 'defeit', 'pulseir', 'cort', 'nao', 'consig', 'contat', 'adequ', 'nao', 'retorn']",0.0
[],1.0
"['pratic', 'facil', 'usar', 'alem', 'facil', 'lav', 'recom']",1.0
"['perfum', 'receb', 'embalag', 'diferent', 'fot', 'sit', 'tamb', 'diferent', 'perfum', 'igual', 'cas', 'cheir', 'bem', 'parec', 'nao', 'igual', 'enfim', 'parec', 'falsific']",0.0
"['loj', 'melhor', 'so', 'irin', 'vc', 'nao', 'sab']",1.0
"['diz', 'vcs', 'esta', 'parabens', 'obrig']",1.0
"['segund', 'compr', 'loj', 'satisfeit', 'produt', 'cheg', 'rapid', 'recom']",1.0
"['gost', 'compr', 'vcs', 'nunc', 'receb', 'cupons', 'descont']",1.0
"['excelent', 'atend']",1.0
"['algum', 'dificuldad', 'reconhec', 'cartuch', 'impressor', 'tres', 'tentat', 'parec', 'normaiiz']",1.0
"['boa', 'noit', 'dificuldad', 'arrum', 'relogi', 'pulseir', 'conect', 'bluetooth']",1.0
['bom'],1.0
"['produt', 'entreg', 'dentr', 'praz', 'super', 'expect', 'vei', 'bem', 'embal', 'avar', 'apes', 'caix', 'amass']",1.0
"['sit', 'correi', 'inform', 'entreg', 'por', 'produt', 'nao', 'entreg']",0.0
"['gatinh', 'ador', 'pod', 'cam', 'toc', 'mac', 'bonit']",1.0
"['relogi', 'compr', 'marc', 'oakley', 'fals', 'aguard', 'soluca', 'problem', 'agrad']",0.0
"['produt', 'qualidad', 'cust', 'benefici']",1.0
"['gost', 'sab', 'cheg', 'produt']",0.0
"['bem', 'atend', 'satisfeit']",1.0
"['nao', 'der', 'nenhum', 'satisfacaon', 'rastreament', 'par', 'sao', 'goncal', 'nao', 'adiant']",0.0
"['bom', 'produt']",1.0
"['produt', 'acord', 'divulg']",1.0
"['entreg', 'rap']",1.0
"['produt', 'cheg', 'antes', 'esper', 'maravilh']",1.0
"['entreg', 'atras', 'pois', 'nao', 'perceb', 'enderec', 'const', 'cadastr', 'incorret', 'loj', 'responsavel', 'inform', 'vai', 'reenvi', 'aguard', 'nov', 'tentat', 'entreg']",1.0
"['entreg', 'antes', 'praz', 'estipul', 'perfeit', 'condico']",1.0
"['cheg', 'antes', 'praz', 'estipul', 'sup', 'recom', 'relogi', 'otim', 'present', 'dia', 'pais', 'espos', 'ador', 'alem', 'lev', 'bonit', 'fot']",1.0
"['entreg', 'demor', 'aind', 'nao', 'receb', 'produt']",0.0
"['pagu', 'nao', 'receb', 'produt', 'nao', 'sei', 'recuper', 'valor']",0.0
"['vei', 'junt', 'control', 'pilh', 'aa', 'control', 'usa', 'duas', 'pilh', 'maior']",1.0
['bom'],1.0
"['otim', 'produt', 'cheg', 'embalag', 'bem', 'lacr', 'antes', 'temp', 'previst', 'entreg']",1.0
"['bom', 'compr', 'stark']",1.0
"['nao', 'entreg', 'produt', 'solicit', 'entre', 'contat', 'lannist', 'aguard', 'retorn', 'troc', 'produt', 'corret', 'por', 'aind', 'nao', 'retorn', 'lannist', 'ja', 'd']",0.0
"['dorm', 'aparelh', 'dent', 'sangrouesta', 'doloridona', 'recom']",0.0
"['recom', 'por', 'fiz', 'ped', 'tres', 'lumin', 'ate', 'hoj', 'cheg', 'soment']",1.0
"['atras', 'entrega', 'ja', 'possu', 'praz', 'suficient', 'log', 'nao', 'consig', 'avalial', 'posit', 'men', 'opin', 'favor', 'transport']",0.0
"['aind', 'nao', 'receb', 'produt']",0.0
"['compr', 'unidad', 'produt', 'vier', 'unidad', 'nao', 'correspond', 'compr', 'dev', 'opinia', 'negat', 'relaca', 'vendedor', 'pois', 'nao', 'nao', 'cumpr', 'promet', 'vend']",0.0
"['capinh', 'nao', 'deu', 'cert', 'pro', 'beb', 'confort', 'cosc', 'nao', 'recom']",0.0
"['produt', 'cheg', 'rap', 'descrit', 'anunci', 'precis', 'faz', 'algum', 'mudanc', 'dev', 'necess', 'especif', 'servic']",1.0
"['gost', 'produt']",1.0
"['receb', 'produt', 'diferent', 'ped', 'nao', 'send', 'assist', 'quant']",0.0
['bom'],1.0
"['relogi', 'bonit', 'pratic', 'facil', 'manusei', 'obrig']",1.0
"['entreg', 'rap']",1.0
"['produt', 'mto', 'bom']",1.0
"['mt', 'bem', 'embal']",1.0
"['cancel', 'ped', 'nao', 'estorn', 'obs', 'ja', 'faz', 'mes']",0.0
"['receb', 'bem', 'antes', 'praz', 'produt', 'cheg', 'perfeit', 'recom']",1.0
"['nao', 'receb']",0.0
"['aind', 'nao', 'receb']",0.0
"['recom', 'demor', 'pouc', 'ta', 'bom', 'entreg', 'direitinh']",1.0
"['produt', 'dentr', 'expect', 'bonit', 'qualidad']",1.0
"['rapidez', 'servic', 'prest']",1.0
"['dentr', 'combin']",1.0
"['vei', 'tud', 'certinh', 'sup', 'recom', 'produtocheg', 'antes', 'previst']",1.0
"['so', 'poss', 'fal', 'sobr', 'produt', 'comec', 'usal', 'ocorr', 'apen', 'proxim', 'final', 'seman', 'ate', 'moment', 'poss', 'diz', 'atend', 'top']",1.0
"['produt', 'praz', 'entreg', 'moment', 'dois', 'dias', 'atras', 'necessari', 'verific', 'porqu', 'atras', 'regulariz', 'entreg', 'present', 'aniversari', 'pendent', 'entreg']",0.0
"['pass', 'dias', 'nao', 'receb', 'produt']",0.0
"['produt', 'bom', 'entreg', 'sup', 'rap']",1.0
['bom'],1.0
"['compr', 'produt', 'dias', 'atras', 'entreg', 'ningu', 'entra', 'contat', 'explic', 'nao', 'consig', 'contat', 'loj']",0.0
"['compr', 'kits', 'cloret', 'magnesi', 'pa', 'capsul', 'mg', 'cheg', 'apen', 'kits', 'embalagens', 'distint', 'rest', 'cheg', 'aind', 'kits', 'ja', 'reclam', 'sit', 'aind', 'nao', 'obtiv', 'respost']",0.0
"['cheg', 'praz', 'esper']",1.0
"['bom', 'cheg', 'antes', 'praz', 'produt', 'qualidad', 'fret', 'cont']",1.0
"['produt', 'perfeit', 'condico']",1.0
"['nao', 'entend', 'q', 'dest', 'avaliaca', 'cad', 'produt']",0.0
"['produt', 'etiquet', 'autent']",1.0
"['otim', 'produt', 'facil', 'substituica', 'aparelh', 'demor', 'min', 'troc']",1.0
"['compr', 'nao', 'funcion']",0.0
['parabens'],1.0
"['present', 'pro', 'mor', 'so', 'sab', 'vei', 'corret', 'qndo', 'peg', 'comigom', 'entreg', 'pessim', 'correi', 'nao', 'entreg', 'ir', 'busc', 'sempr', 'compr', 'sit', 'tdos', 'entreg', 'cert', 'targaryen', 'nao']",0.0
"['otim', 'produt']",1.0
"['nao', 'recom', 'produt', 'simples', 'pessim', 'vei', 'defeit', 'fragil', 'som', 'baix', 'nao', 'gost']",0.0
['satisfeit'],1.0
['bom'],1.0
"['so', 'receb', 'ventil', 'nao', 'receb', 'pendent', 'mei', 'lua']",0.0
['n'],1.0
"['boa', 'tard', 'produt', 'entreg', 'antes', 'praz', 'estipul', 'qualidad', 'seguranc']",1.0
"['entreg', 'rapidissim', 'produt', 'vou', 'avali', 'aind', 'olhe', 'superficial', 'parec', 'otim', 'vam', 'ver', 'quant', 'instal']",1.0
"['segund', 'fez', 'fiz', 'compr', 'sempr', 'bem', 'atend', 'fic', 'grat', 'atend', 'abrig']",1.0
"['produt', 'otim', 'qualidad', 'entreg', 'praz', 'recom']",1.0
"['bom', 'fornecedor', 'nad', 'reclam']",1.0
"['tud', 'joi']",1.0
"['produt', 'parec', 'otim', 'qualidad']",1.0
"['produt', 'cheg', 'otim', 'estad', 'cheg', 'antes', 'praz', 'parabens', 'loj', 'lannist', 'feliz', 'vcs']",1.0
"['pessim', 'parceir', 'stark', 'trabalh', 'nao', 'entreg', 'produt', 'nao', 'respond', 'mensagens', 'deix', 'atrav', 'sit', 'stark', 'realment', 'decepcion']",0.0
"['erre', 'nao', 'prest', 'atenca', 'eau', 'toillet', 'cheir', 'maravilh', 'pra', 'ama', 'perfum', 'doc']",1.0
['satisfeit'],1.0
"['vergonh', 'compr', 'produt', 'nao', 'receb']",0.0
"['cheg', 'antes', 'praz']",1.0
['otim'],1.0
"['produt', 'excelent', 'qualidad', 'bom']",1.0
"['receb', 'produt', 'bem', 'embal', 'bem', 'antes', 'dat', 'previst', 'satisfeit', 'recom']",1.0
['ador'],1.0
"['nao', 'fiqu', 'total', 'satisfeit', 'porqu', 'produt', 'nao', 'entreg', 'residenc', 'pois', 'dirig', 'ate', 'correi', 'retir', 'mercador']",1.0
"['produt', 'bom', 'qualidad', 'entreg', 'praz']",1.0
"['bom', 'atend']",1.0
"['desej', 'gaveteir', 'maior', 'rosakkkkkk', 'tud', 'compr', 'ate', 'momentomaravilh']",1.0
"['entreg', 'bem', 'antes', 'praz', 'ped', 'vendedor']",1.0
"['ador', 'sup', 'recom']",1.0
"['nao', 'receb', 'men', 'nenhum', 'notificaca', 'destin', 'produt', 'falt', 'respeit', 'client']",0.0
"['decepcion', 'fret', 'vendedor', 'nao', 'culp', 'correi', 'ser', 'tao', 'irresponsav', 'demor', 'mes', 'cheg', 'final', 'ir', 'agenc', 'busc', 'pra', 'pagu', 'fret']",1.0
"['produt', 'entreg', 'praz', 'material', 'bom', 'ja', 'vei', 'mont', 'conform', 'descrica', 'produt', 'period', 'vend']",1.0
"['opinia', 'vendedor', 'correspond', 'expect', 'client', 'recom', 'not']",1.0
"['compr', 'produt', 'estev', 'anunc', 'cois', 'produt', 'nao', 'correspond', 'anunci']",0.0
"['pan', 'prat', 'sao', 'lind', 'so', 'ache', 'pouc', 'pequen', 'qualidad']",1.0
"['ame', 'tud', 'cheg', 'rap']",1.0
"['atend', 'bom']",1.0
"['bols', 'muit', 'qualidad', 'tamanh', 'perfeit', 'indic', 'tod']",1.0
['otim'],1.0
"['produt', 'dentr', 'expect']",1.0
"['costur', 'linh', 'escur', 'part', 'clar', 'cortin', 'fei', 'solicit', 'cancel', 'nao', 'receb', 'codig', 'postag', 'favor', 'envi']",0.0
['kyjk'],1.0
"['otim', 'loj', 'entreg', 'produt', 'corret', 'antes', 'termin', 'praz']",1.0
"['praz', 'entreg', 'tud', 'vei', 'perfeit', 'ordens', 'unic', 'problem', 'praz', 'demor', 'demor', 'cerc', 'dias', 'cheg', 'tir', 'not', 'dez', 'tod', 'envolv', 'vend']",1.0
"['compr', 'produt', 'por', 'receb', 'outr']",1.0
"['atend', 'sup', 'bem', 'tod', 'expect', 'sao', 'bem', 'afi', 'vei', 'estoj', 'pret', 'bem', 'organiz', 'bonit']",1.0
"['loj', 'cumpr', 'praz', 'quant', 'produt', 'aind', 'test', 'precis', 'cert', 'habil', 'moviment', 'conjunt', 'pec', 'continu', 'unid', 'vidr', 'fic', 'realment', 'limp']",1.0
"['cheg', 'antes', 'praz', 'produt', 'exat', 'esper']",1.0
['otim'],1.0
"['bom', 'parabens']",1.0
"['infeliz', 'produt', 'nao', 'cheg', 'dentr', 'praz', 'estabelec']",0.0
"['satisfaca', 'produt', 'tud', 'entreg', 'temp', 'cert', 'obrig']",1.0
"['produt', 'dentr', 'expect', 'visualiz', 'sit']",1.0
"['nao', 'receb', 'produt', 'aind']",0.0
"['produt', 'bem', 'resolv']",1.0
"['aguard', 'entreg', 'enderec', 'inform']",0.0
"['compr', 'duas', 'bonec', 'lol', 'so', 'vei']",0.0
"['produt', 'boa', 'construca', 'aparenc', 'apes', 'ter', 'vind', 'cant', 'descasc', 'alem', 'diss', 'vidr', 'pequen', 'trinc', 'acho', 'dev', 'melhor', 'embal']",1.0
['recom'],1.0
"['nao', 'receb', 'produt', 'praz', 'previst']",0.0
"['cancel', 'compr', 'dia', 'sit', 'aparec', 'produt', 'entreg', 'send', 'nao', 'receb', 'nad', 'assim', 'cobr', 'carta', 'quer', 'cancel', 'imediat']",0.0
"['produt', 'excelent', 'praz', 'entreg', 'otim', 'recom', 'parabens', 'seriedad', 'compromiss']",1.0
"['receb', 'dias', 'antes', 'praz', 'bem', 'empacot']",1.0
"['gost', 'cheg', 'rapidinh']",1.0
"['produt', 'conform', 'descrica', 'cheg', 'suuuup', 'rap']",1.0
"['ador', 'material', 'feit', 'corin', 'por', 'otim', 'qualidad', 'cheg', 'mei', 'emborrach', 'tod', 'revest', 'dentr', 'tamanh', 'otim']",1.0
"['gost', 'vei', 'certinh']",1.0
['bom'],1.0
"['nao', 'receb', 'fiqu', 'informaca', 'vai', 'cancel', 'vai', 'entreg']",0.0
"['cortin', 'lind', 'ame', 'ire', 'compr', 'outr', 'cor']",1.0
"['porqu', 'nao', 'entreg', 'gost', 'sab', 'porqu']",0.0
"['tud', 'cert']",1.0
"['produt', 'bom', 'recom']",1.0
['parabens'],1.0
"['almof', 'simpl', 'bonit', 'bastant', 'funcional', 'gost']",1.0
"['produt', 'cheg', 'corret', 'antes', 'praz']",1.0
"['servic', 'excelent', 'qualidad', 'entreg', 'caprich', 'atenca', 'cuid', 'vou', 'continu', 'compr', 'empres', 'parabens', 'cativ', 'client', 'vou', 'recomend', 'ame']",1.0
"['vei', 'menor', 'anunci', 'xm']",0.0
